x_true 	 x_rec 
4.310202e-05 	 4.310202e-05
2.931168e-05 	 2.931168e-05
1.494801e-05 	 1.494801e-05
0.000000e+00 	 -2.356968e-18
0.000000e+00 	 -1.723396e-18
9.298447e-08 	 9.298447e-08
3.718698e-07 	 3.718698e-07
8.364516e-07 	 8.364516e-07
1.486389e-06 	 1.486389e-06
2.321206e-06 	 2.321206e-06
3.340290e-06 	 3.340290e-06
4.542890e-06 	 4.542890e-06
5.928122e-06 	 5.928122e-06
7.494964e-06 	 7.494964e-06
9.242258e-06 	 9.242258e-06
1.116871e-05 	 1.116871e-05
1.327289e-05 	 1.327289e-05
1.555323e-05 	 1.555323e-05
1.800803e-05 	 1.800803e-05
2.063545e-05 	 2.063545e-05
2.343352e-05 	 2.343352e-05
2.640012e-05 	 2.640012e-05
2.953300e-05 	 2.953300e-05
3.282978e-05 	 3.282978e-05
3.628795e-05 	 3.628795e-05
3.990485e-05 	 3.990485e-05
4.367767e-05 	 4.367767e-05
4.760350e-05 	 4.760350e-05
5.167928e-05 	 5.167928e-05
5.590179e-05 	 5.590179e-05
6.026770e-05 	 6.026770e-05
6.477354e-05 	 6.477354e-05
6.941569e-05 	 6.941569e-05
7.419042e-05 	 7.419042e-05
7.909384e-05 	 7.909384e-05
8.412193e-05 	 8.412193e-05
8.927054e-05 	 8.927054e-05
9.453538e-05 	 9.453538e-05
9.991201e-05 	 9.991201e-05
1.053959e-04 	 1.053959e-04
1.109823e-04 	 1.109823e-04
1.166664e-04 	 1.166664e-04
1.224432e-04 	 1.224432e-04
1.283077e-04 	 1.283077e-04
1.342545e-04 	 1.342545e-04
1.402784e-04 	 1.402784e-04
1.463737e-04 	 1.463737e-04
1.525348e-04 	 1.525348e-04
1.587560e-04 	 1.587560e-04
1.650313e-04 	 1.650313e-04
1.713546e-04 	 1.713546e-04
1.777198e-04 	 1.777198e-04
1.841205e-04 	 1.841205e-04
1.905502e-04 	 1.905502e-04
1.970024e-04 	 1.970024e-04
2.034703e-04 	 2.034703e-04
2.099471e-04 	 2.099471e-04
2.164256e-04 	 2.164256e-04
2.228987e-04 	 2.228987e-04
2.293593e-04 	 2.293593e-04
2.357998e-04 	 2.357998e-04
2.422126e-04 	 2.422126e-04
2.485902e-04 	 2.485902e-04
2.549246e-04 	 2.549246e-04
2.612079e-04 	 2.612079e-04
2.674319e-04 	 2.674319e-04
2.735886e-04 	 2.735886e-04
2.796693e-04 	 2.796693e-04
2.856657e-04 	 2.856657e-04
2.915692e-04 	 2.915692e-04
2.973708e-04 	 2.973708e-04
3.030617e-04 	 3.030617e-04
3.086329e-04 	 3.086329e-04
3.140750e-04 	 3.140750e-04
3.193789e-04 	 3.193789e-04
3.245351e-04 	 3.245351e-04
3.295338e-04 	 3.295338e-04
3.343655e-04 	 3.343655e-04
3.390202e-04 	 3.390202e-04
3.434879e-04 	 3.434879e-04
3.477585e-04 	 3.477585e-04
3.518216e-04 	 3.518216e-04
3.556669e-04 	 3.556669e-04
3.592838e-04 	 3.592838e-04
3.626616e-04 	 3.626616e-04
3.657895e-04 	 3.657895e-04
3.686564e-04 	 3.686564e-04
3.712514e-04 	 3.712514e-04
3.735632e-04 	 3.735632e-04
3.755804e-04 	 3.755804e-04
3.772915e-04 	 3.772915e-04
3.786848e-04 	 3.786848e-04
3.797485e-04 	 3.797485e-04
3.804708e-04 	 3.804708e-04
3.808396e-04 	 3.808396e-04
3.808427e-04 	 3.808427e-04
3.804677e-04 	 3.804677e-04
3.797023e-04 	 3.797023e-04
3.785337e-04 	 3.785337e-04
3.769494e-04 	 3.769494e-04
3.749363e-04 	 3.749363e-04
3.724815e-04 	 3.724815e-04
3.695718e-04 	 3.695718e-04
3.661940e-04 	 3.661940e-04
3.623347e-04 	 3.623347e-04
3.579802e-04 	 3.579802e-04
3.531169e-04 	 3.531169e-04
3.477310e-04 	 3.477310e-04
3.418085e-04 	 3.418085e-04
3.353354e-04 	 3.353354e-04
3.282973e-04 	 3.282973e-04
3.206799e-04 	 3.206799e-04
3.124687e-04 	 3.124687e-04
3.036491e-04 	 3.036491e-04
2.942062e-04 	 2.942062e-04
2.841252e-04 	 2.841252e-04
2.733910e-04 	 2.733910e-04
2.619885e-04 	 2.619885e-04
2.499022e-04 	 2.499022e-04
